Tarih,Gerçek,Tahmin,Alt_Sınır,Üst_Sınır
2025-01-01,2624.0865,2625.046200488685,2583.044920147131,2667.7304374201804
2025-01-02,2624.1003,2624.5292735168105,2583.0720159727966,2666.6519032194174
2025-01-03,2658.5174,2624.5429096163325,2583.6153475577303,2666.1188132857105
2025-01-04,2658.5174,2658.9736318016326,2616.7206762289557,2701.9088582299055
2025-01-05,2658.5174,2658.973581869228,2617.2586913801442,2701.353340563448
2025-01-06,2634.817,2658.9735202799347,2617.790578473757,2700.80434993083
2025-01-07,2649.9402,2635.2635926628777,2594.299078622739,2676.874944773605
2025-01-08,2649.9262,2650.3926195567265,2609.4685756206195,2691.958471325942
2025-01-09,2662.9031,2650.378491811432,2609.976649181802,2691.4057457405775
2025-01-10,2689.3504,2663.360606895666,2623.0929856107896,2704.246384430754
2025-01-11,2689.3504,2689.818561819377,2648.870031914376,2731.4001096079205
2025-01-12,2689.3504,2689.818728248623,2649.3915691785596,2730.8627667597957
2025-01-13,2668.7875,2689.8188255177233,2649.908577669646,2730.330161228498
2025-01-14,2668.7519,2669.247160418742,2629.611465752277,2709.480277294593
2025-01-15,2695.1781,2669.211488803,2630.0836637901293,2708.9214195151367
2025-01-16,2695.1926,2695.6487978203895,2655.8024099160884,2736.0930218525186
2025-01-17,2702.6863,2695.6634052422396,2656.3250771248463,2735.5843066570046
2025-01-18,2702.6863,2703.1604093304036,2664.156319306576,2742.7355315521404
2025-01-19,2702.6863,2703.160563713072,2664.65775985784,2742.2197113986635
2025-01-20,2696.3699,2703.160717411281,2665.155265743111,2741.7081316341532
2025-01-21,2744.1618,2696.841593460705,2659.3553785203994,2734.8562132625425
2025-01-22,2755.5952,2744.654077629814,2704.1064780730107,2785.809681288212
2025-01-23,2754.6578,2756.092562481534,2715.7445570963964,2797.0400209832414
2025-01-24,2771.2884,2755.15517431489,2715.3221120703943,2795.5725771209427
2025-01-25,2771.2884,2771.793180978813,2731.9066391881033,2812.2620765707843
2025-01-26,2771.2884,2771.7937222075034,2732.4050800166583,2811.7501664219153
2025-01-27,2742.3068,2771.7942227999447,2732.8990494792033,2811.242960112718
2025-01-28,2742.1677,2742.798537938174,2703.707410292199,2782.4548584947497
2025-01-29,2764.7604,2742.6596259056437,2704.056322551095,2781.81403280691
2025-01-30,2761.6871,2765.2623521722485,2726.2128986286634,2804.871138342725
2025-01-31,2798.1968,2762.1880252720566,2723.6501854501585,2801.2711499128604
2025-02-01,2798.1968,2798.7132889463114,2758.5470217918173,2839.464403487629
2025-02-02,2798.1968,2798.7138360418744,2759.0410661780247,2838.957068117383
2025-02-03,2814.0358,2798.7143768996334,2759.529214712532,2838.455966222003
2025-02-04,2841.886,2814.560833971384,2775.3500652541384,2854.3255812308857
2025-02-05,2869.6463,2842.4232329957144,2802.4005161381447,2883.017537624353
2025-02-06,2857.7022,2870.195553716122,2829.399999849705,2911.5793161127426
2025-02-07,2861.2303,2858.2465117041515,2817.9332906633126,2899.136451788011
2025-02-08,2861.2303,2861.7770371884812,2821.8959255973336,2902.2217780216993
2025-02-09,2861.2303,2861.777867213857,2822.3825856389767,2901.7230346257106
2025-02-10,2918.843,2861.7786907580025,2822.8634399951106,2901.2304169027652
2025-02-11,2918.9325,2919.412464769329,2876.3822752567044,2963.08637859684
2025-02-12,2905.8955,2919.502986959562,2876.990865996077,2962.643292200645
2025-02-13,2931.769,2906.4606594670036,2864.4448237926704,2949.0927857512133
2025-02-14,2882.6253,2932.3453893599067,2889.765375086064,2975.5528101461223
2025-02-15,2882.6253,2883.174716978617,2839.210726984685,2927.819470960166
2025-02-16,2882.6253,2883.175295580433,2839.7487022880546,2927.265986017557
2025-02-17,2879.7613,2883.175860595045,2840.275915334058,2926.7237729403073
2025-02-18,2934.2034,2880.3111520716247,2837.957809426612,2923.2965709325854
2025-02-19,2935.8402,2934.773825400739,2889.104653844808,2981.1649068493525
2025-02-20,2941.3019,2936.412072328833,2891.2807101265307,2982.247911217574
2025-02-21,2936.1246,2941.8767956713273,2897.190359673747,2987.2524779089767
2025-02-22,2936.1246,2936.6979726552195,2892.5965372288233,2981.47179241923
2025-02-23,2936.1246,2936.6986912655066,2893.1279260477063,2980.9256361028015
2025-02-24,2937.0128,2936.699395931917,2893.649667506771,2980.3895885909637
2025-02-25,2917.9104,2937.588683649842,2895.0385777742504,2980.764173768644
2025-02-26,2919.7208,2918.477659874289,2876.289721255827,2961.2843894830075
2025-02-27,2876.3983,2920.289412845317,2878.5737594409784,2962.6096002600293
2025-02-28,2876.208,2876.9448321753844,2834.2713881186514,2920.2607774531716
2025-03-01,2876.208,2876.754673655168,2834.592056690364,2919.5444306929585
