,Gerçek,Tahmin
2025-06-27,3274.1691,3337.4868871013737
2025-06-28,3274.1691,3274.847117682922
2025-06-29,3274.1691,3274.847170156752
2025-06-30,3266.4101,3274.847242530584
2025-07-01,3311.8231,3267.085314119871
2025-07-02,3337.6168,3312.515724153283
2025-07-03,3345.5334,3338.319380183469
2025-07-04,3329.4047,3346.239471841536
2025-07-05,3329.4047,3330.104672171081
2025-07-06,3329.4047,3330.1050636757727
2025-07-07,3327.4991,3330.105470293214
2025-07-08,3335.4849,3328.199516559746
2025-07-09,3304.5671,3336.1890407823553
2025-07-10,3317.5583,3305.2576627185003
2025-07-11,3325.1313,3318.2545409814165
2025-07-12,3325.1313,3325.831039308901
2025-07-13,3325.1313,3325.8314198811686
2025-07-14,3367.0941,3325.8318135983654
2025-07-15,3345.7572,3367.8125467096993
2025-07-16,3330.5524,3346.466273388867
2025-07-17,3346.0372,3331.2549380167793
2025-07-18,3340.2365,3346.7468416777583
2025-07-19,3340.2365,3340.9439131710583
2025-07-20,3340.2365,3340.944285447254
2025-07-21,3348.7712,3340.944674156192
2025-07-22,3394.6879,3349.4837967167236
2025-07-23,3429.3736,3395.421000718681
2025-07-24,3390.9514,3430.122051367449
2025-07-25,3369.2155,3391.680456976511
2025-07-26,3369.2155,3369.9347849747164
2025-07-27,3369.2155,3369.935115225394
2025-07-28,3334.9563,3369.9354476924063
2025-07-29,3314.1389,3335.6596507533945
2025-07-30,3328.9391,3314.832657628939
2025-07-31,3285.7772,3329.6394516681617
2025-08-01,3287.4948,3286.457233619128
2025-08-02,3287.4948,3288.175194981182
2025-08-03,3287.4948,3288.1748148258157
2025-08-04,3377.283,3288.174441944986
2025-08-05,3378.3042,3378.005979359771
2025-08-06,3383.2532,3379.027701938067
2025-08-07,3367.2075,3383.978844715091
2025-08-08,3399.9959,3367.926570245691
2025-08-09,3399.9959,3400.728458986334
2025-08-10,3399.9959,3400.7287214163507
2025-08-11,3349.1862,3400.7289979879574
2025-08-12,3349.0516,3349.896233630486
2025-08-13,3350.1062,3349.761479530907
2025-08-14,3364.2112,3350.8164366481537
2025-08-15,3334.278,3364.927340140885
2025-08-16,3334.278,3334.9810940730017
2025-08-17,3334.278,3334.980926040816
2025-08-18,3329.6042,3334.9807717699214
2025-08-19,3330.3475,3330.304775867836
2025-08-20,3313.7601,3331.048241253225
2025-08-21,3338.4077,3314.453185692118
2025-08-22,3337.9174,3339.1118403300675
2025-08-23,3337.9174,3338.6212226758344
2025-08-24,3337.9174,3338.6211325212425
2025-08-25,3367.6157,3338.6210469977177
2025-08-26,3356.2171,3368.3333783249363
2025-08-27,3390.8535,3356.9293917922805
2025-08-28,3396.1047,3391.582119591299
2025-08-29,3415.7672,3396.836085698015
2025-08-30,3415.7672,3416.508143819304
2025-08-31,3415.7672,3416.5086075186327
2025-09-01,3446.4166,3416.5090710991913
2025-09-02,3481.3063,3447.1733824606263
2025-09-03,3559.5866,3482.0795518700525
2025-09-04,3558.893,3560.3892079923817
2025-09-05,3553.4077,3559.6963040744326
2025-09-06,3553.4077,3554.2094785404097
2025-09-07,3553.4077,3554.2104437764374
2025-09-08,3636.972,3554.2114104699563
2025-09-09,3634.9757,3637.8051068514033
2025-09-10,3633.1862,3635.809033002018
2025-09-11,3645.3444,3634.0198327107114
2025-09-12,3632.6517,3646.1842644239696
2025-09-13,3632.6517,3633.486784890251
2025-09-14,3632.6517,3633.487832518108
2025-09-15,3676.5179,3633.488888522583
2025-09-16,3677.0789,3677.3735774484844
2025-09-17,3693.4919,3677.9360690660237
2025-09-18,3665.8775,3694.357505570613
2025-09-19,3640.9515,3666.7299253883352
2025-09-20,3640.9515,3641.7922857869744
2025-09-21,3640.9515,3641.7931385720917
2025-09-22,3686.6224,3641.793991653202
2025-09-23,3748.3929,3687.484877830884
2025-09-24,3761.2579,3749.279791636642
2025-09-25,3745.1786,3762.1516212276515
2025-09-26,3746.1321,3746.0657618133614
2025-09-27,3746.1321,3747.0208821139604
2025-09-28,3746.1321,3747.0220671976344
2025-09-29,3770.9528,3747.0232501062355
2025-09-30,3836.2342,3771.8561361060447
2025-10-01,3864.5849,3837.1627344964786
2025-10-02,3861.0933,3865.5266756589235
2025-10-03,3861.7495,3862.035015959687
2025-10-04,3861.7495,3862.693102208857
2025-10-05,3861.7495,3862.6946760900073
2025-10-06,3904.2521,3862.6962431410016
2025-10-07,3968.8682,3905.2177158382265
2025-10-08,3996.7866,3969.85814735103
2025-10-09,4013.405,3997.789993590772
2025-10-10,3986.7322,4014.417688309723
2025-10-11,3986.7322,3987.732428665239
2025-10-12,3986.7322,3987.734231456322
2025-10-13,4032.0142,3987.7360258538974
2025-10-14,4164.3849,4033.0378047462855
2025-10-15,4163.622,4165.436134817841
2025-10-16,4207.5146,4164.674610020977
2025-10-17,4365.3158,4208.5848902798125
2025-10-18,4365.3158,4366.42128900326
2025-10-19,4365.3158,4366.422845169726
2025-10-20,4236.7316,4366.424461715096
2025-10-21,4359.426,4237.781056082279
2025-10-22,4052.8656,4360.514329787883
2025-10-23,4091.07,4053.8353233510134
2025-10-24,4123.4903,4092.0494641943906
2025-10-25,4123.4903,4124.47811769663
2025-10-26,4123.4903,4124.477429197061
2025-10-27,4064.2889,4124.47684463679
2025-10-28,3996.5478,4065.258495843336
2025-10-29,3947.7009,3997.4981337855443
2025-10-30,4040.502,3948.6371086510153
2025-10-31,4002.7699,4041.4649911359697
2025-11-01,4002.7699,4003.721898704524
2025-11-02,4002.7699,4003.721532491622
2025-11-03,4001.5206,4003.7212175602417
2025-11-04,3932.085,4002.471356684531
2025-11-05,3979.7036,3933.0154698356123
2025-11-06,3977.1552,3980.647813502532
2025-11-07,4001.2804,3978.0986027693807
2025-11-08,4001.2804,4002.2309513655964
2025-11-09,4001.2804,4002.2311145284257
2025-11-10,4115.4338,4002.231371569179
2025-11-11,4126.6809,4116.418408272911
2025-11-12,4195.2732,4127.669313862839
2025-11-13,4171.49,4196.282245841354
2025-11-14,4083.3509,4172.492412780269
2025-11-15,4083.3509,4084.325392861782
2025-11-16,4083.3509,4084.325812195151
2025-11-17,4045.7984,4084.326315572959
2025-11-18,4067.5539,4046.7625646620904
2025-11-19,4077.871,4068.5252614435753
2025-11-20,4077.5717,4078.8462814859404
2025-11-21,4065.0737,4078.5477299354666
2025-11-22,4065.0737,4066.046609800951
2025-11-23,4065.0737,4066.0475670787514
2025-11-24,4134.3926,4066.048656901782
2025-11-25,4130.7123,4135.389469136455
2025-11-26,4163.7347,4131.709258806147
2025-11-27,4158.1426,4164.7435898856265
2025-11-28,4217.3637,4159.151182977113
2025-11-29,4217.3637,4218.391855542781
2025-11-30,4217.3637,4218.393697308729
2025-12-01,4232.1056,4218.395635475314
2025-12-02,4205.7981,4233.144717793064
2025-12-03,4203.1906,4206.829096518985
2025-12-04,4208.8605,4204.222765436522
2025-12-05,4198.2409,4209.8970035123675
2025-12-06,4198.2409,4199.2755715931735
2025-12-07,4198.2409,4199.277982873681
2025-12-08,4190.7109,4199.280515140828
2025-12-09,4208.1609,4191.749993589894
2025-12-10,4228.7321,4209.209343315742
2025-12-11,4279.4663,4229.791244603132
2025-12-12,4299.8732,4280.544496932237
2025-12-13,4299.8732,4300.96233084397
2025-12-14,4299.8732,4300.965766361276
2025-12-15,4305.0007,4300.969239942077
2025-12-16,4302.2966,4306.102564410531
2025-12-17,4338.0184,4303.400683832898
2025-12-18,4332.6805,4339.139145458283
2025-12-19,4339.4302,4333.802454543171
2025-12-20,4339.4302,4340.559065297156
2025-12-21,4339.4302,4340.563000443257
2025-12-22,4443.6841,4340.5668835871365
2025-12-23,4484.4558,4444.837203335291
2025-12-24,4479.4438,4485.626583314617
2025-12-25,4479.3435,4480.615303825334
2025-12-26,4533.5643,4480.517963396749
2025-12-27,4533.5643,4534.760259081709
2025-12-28,4533.5643,4534.763386278439
2025-12-29,4332.2864,4534.766545863529
2025-12-30,4339.1196,4333.308736920776
2025-12-31,4322.3617,4340.144172966901
