Tarih,Beklenen_Fiyat,Alt_Sınır,Üst_Sınır
2026-01-10,4508.7153855988145,4412.373693109966,4607.160644638726
2026-01-11,4509.799631872177,4374.259054384991,4649.540063075649
2026-01-12,4510.884138882774,4345.569323940571,4682.487885378506
2026-01-13,4511.968906693307,4321.766531097722,4710.5421517983605
2026-01-14,4513.053935366493,4301.091513486753,4735.4620936711035
2026-01-15,4514.139224965063,4282.641356317882,4758.150694152045
2026-01-16,4515.224775551764,4265.879265869443,4779.144814732889
